Edge 77 -> No: 0.035; One: 0.228; Two:  0.445667; Tree: 0.291333
Edge 78 -> No: 0.04; One: 0.228667; Two:  0.431; Tree: 0.300333
Edge 79 -> No: 0.0393333; One: 0.22; Two:  0.435; Tree: 0.305667
Edge 80 -> No: 0.039; One: 0.212333; Two:  0.464667; Tree: 0.284
Edge 81 -> No: 0.0356667; One: 0.236667; Two:  0.438333; Tree: 0.289333
Edge 82 -> No: 0.0403333; One: 0.224; Two:  0.441; Tree: 0.294667
Edge 83 -> No: 0.0463333; One: 0.227; Two:  0.448; Tree: 0.278667
Edge 84 -> No: 0.043; One: 0.225667; Two:  0.437333; Tree: 0.294
Edge 85 -> No: 0.0376667; One: 0.223333; Two:  0.439; Tree: 0.3
Edge 86 -> No: 0.0436667; One: 0.231667; Two:  0.443; Tree: 0.281667
Edge 87 -> No: 0.04; One: 0.232; Two:  0.457667; Tree: 0.270333
Edge 88 -> No: 0.0376667; One: 0.245333; Two:  0.436333; Tree: 0.280667
Edge 89 -> No: 0.034; One: 0.245; Two:  0.436667; Tree: 0.284333
Edge 90 -> No: 0.0363333; One: 0.233; Two:  0.451; Tree: 0.279667
Edge 91 -> No: 0.0396667; One: 0.237333; Two:  0.439667; Tree: 0.283333
Edge 92 -> No: 0.0423333; One: 0.238333; Two:  0.449; Tree: 0.270333
Edge 93 -> No: 0.0386667; One: 0.225333; Two:  0.444333; Tree: 0.291667
Edge 94 -> No: 0.0363333; One: 0.238667; Two:  0.444667; Tree: 0.280333
Edge 95 -> No: 0.036; One: 0.239333; Two:  0.441333; Tree: 0.283333
Edge 96 -> No: 0.039; One: 0.240333; Two:  0.448; Tree: 0.272667
Edge 97 -> No: 0.039; One: 0.235667; Two:  0.44; Tree: 0.285333
Edge 98 -> No: 0.0406667; One: 0.227; Two:  0.460333; Tree: 0.272
Edge 99 -> No: 0.048; One: 0.240667; Two:  0.436333; Tree: 0.275
Edge 100 -> No: 0.039; One: 0.241667; Two:  0.442333; Tree: 0.277
Edge 101 -> No: 0.041; One: 0.248667; Two:  0.447667; Tree: 0.262667
Edge 102 -> No: 0.0396667; One: 0.249; Two:  0.454667; Tree: 0.256667
Edge 103 -> No: 0.0396667; One: 0.245; Two:  0.437333; Tree: 0.278
Edge 104 -> No: 0.0486667; One: 0.239333; Two:  0.444333; Tree: 0.267667
Edge 105 -> No: 0.0433333; One: 0.24; Two:  0.444; Tree: 0.272667
Edge 106 -> No: 0.0403333; One: 0.263667; Two:  0.432; Tree: 0.264
Edge 107 -> No: 0.0403333; One: 0.235333; Two:  0.446667; Tree: 0.277667
Edge 108 -> No: 0.0483333; One: 0.245; Two:  0.428; Tree: 0.278667
Edge 109 -> No: 0.047; One: 0.231667; Two:  0.449667; Tree: 0.271667
Edge 110 -> No: 0.0466667; One: 0.246333; Two:  0.433667; Tree: 0.273333
Edge 111 -> No: 0.0453333; One: 0.244333; Two:  0.441667; Tree: 0.268667
Edge 112 -> No: 0.0456667; One: 0.243333; Two:  0.444667; Tree: 0.266333
Edge 113 -> No: 0.041; One: 0.262; Two:  0.442333; Tree: 0.254667
Edge 114 -> No: 0.044; One: 0.253333; Two:  0.448667; Tree: 0.254
Edge 115 -> No: 0.045; One: 0.251; Two:  0.445667; Tree: 0.258333
Edge 116 -> No: 0.0573333; One: 0.243333; Two:  0.437667; Tree: 0.261667
Edge 117 -> No: 0.048; One: 0.239333; Two:  0.444; Tree: 0.268667
Edge 118 -> No: 0.0523333; One: 0.251333; Two:  0.439; Tree: 0.257333
Edge 119 -> No: 0.0506667; One: 0.244333; Two:  0.431; Tree: 0.274
Edge 120 -> No: 0.0483333; One: 0.26; Two:  0.439; Tree: 0.252667
Edge 121 -> No: 0.0513333; One: 0.255667; Two:  0.441333; Tree: 0.251667
Edge 122 -> No: 0.0453333; One: 0.255; Two:  0.448; Tree: 0.251667
Edge 123 -> No: 0.0466667; One: 0.255667; Two:  0.444; Tree: 0.253667
Edge 124 -> No: 0.0473333; One: 0.258667; Two:  0.429333; Tree: 0.264667
Edge 125 -> No: 0.0466667; One: 0.250667; Two:  0.444333; Tree: 0.258333
Edge 126 -> No: 0.055; One: 0.241667; Two:  0.444333; Tree: 0.259
Edge 127 -> No: 0.0446667; One: 0.250667; Two:  0.463667; Tree: 0.241
Edge 128 -> No: 0.0493333; One: 0.252333; Two:  0.450333; Tree: 0.248
Edge 129 -> No: 0.0563333; One: 0.281667; Two:  0.416667; Tree: 0.245333
Edge 130 -> No: 0.0476667; One: 0.259; Two:  0.439333; Tree: 0.254
Edge 131 -> No: 0.0456667; One: 0.249333; Two:  0.441333; Tree: 0.263667
Edge 132 -> No: 0.05; One: 0.268; Two:  0.434; Tree: 0.248
Edge 133 -> No: 0.045; One: 0.263667; Two:  0.437; Tree: 0.254333
Edge 134 -> No: 0.0513333; One: 0.258; Two:  0.441333; Tree: 0.249333
Edge 135 -> No: 0.0593333; One: 0.27; Two:  0.433333; Tree: 0.237333
Edge 136 -> No: 0.043; One: 0.265; Two:  0.450667; Tree: 0.241333
Edge 137 -> No: 0.0503333; One: 0.251333; Two:  0.441667; Tree: 0.256667
Edge 138 -> No: 0.0566667; One: 0.267333; Two:  0.434; Tree: 0.242
Edge 139 -> No: 0.0546667; One: 0.258667; Two:  0.447333; Tree: 0.239333
Edge 140 -> No: 0.0606667; One: 0.274667; Two:  0.431333; Tree: 0.233333
Edge 141 -> No: 0.058; One: 0.269; Two:  0.429667; Tree: 0.243333
Edge 142 -> No: 0.0536667; One: 0.272; Two:  0.446667; Tree: 0.227667
Edge 143 -> No: 0.0513333; One: 0.260667; Two:  0.443667; Tree: 0.244333
Edge 144 -> No: 0.0543333; One: 0.266; Two:  0.44; Tree: 0.239667
Edge 145 -> No: 0.054; One: 0.247667; Two:  0.444333; Tree: 0.254
Edge 146 -> No: 0.0456667; One: 0.267333; Two:  0.445; Tree: 0.242
Edge 147 -> No: 0.0573333; One: 0.264; Two:  0.429; Tree: 0.249667
Edge 148 -> No: 0.054; One: 0.262667; Two:  0.445667; Tree: 0.237667
Edge 149 -> No: 0.0543333; One: 0.269333; Two:  0.434333; Tree: 0.242
Edge 150 -> No: 0.0576667; One: 0.265667; Two:  0.424667; Tree: 0.252
Edge 151 -> No: 0.0583333; One: 0.253; Two:  0.436667; Tree: 0.252
Edge 152 -> No: 0.056; One: 0.268667; Two:  0.418; Tree: 0.257333
Edge 153 -> No: 0.055; One: 0.258; Two:  0.439667; Tree: 0.247333
Edge 154 -> No: 0.052; One: 0.274; Two:  0.437333; Tree: 0.236667
Edge 155 -> No: 0.0513333; One: 0.261667; Two:  0.436; Tree: 0.251
Edge 156 -> No: 0.059; One: 0.273667; Two:  0.425667; Tree: 0.241667
Edge 157 -> No: 0.055; One: 0.273; Two:  0.427333; Tree: 0.244667
Edge 158 -> No: 0.0606667; One: 0.27; Two:  0.438667; Tree: 0.230667
Edge 159 -> No: 0.0566667; One: 0.276; Two:  0.432333; Tree: 0.235
Edge 160 -> No: 0.059; One: 0.267333; Two:  0.447; Tree: 0.226667
Edge 161 -> No: 0.054; One: 0.274; Two:  0.439667; Tree: 0.232333
Edge 162 -> No: 0.052; One: 0.275333; Two:  0.439333; Tree: 0.233333
Edge 163 -> No: 0.0563333; One: 0.269333; Two:  0.439333; Tree: 0.235
Edge 164 -> No: 0.0596667; One: 0.270333; Two:  0.441333; Tree: 0.228667
Edge 165 -> No: 0.05; One: 0.286667; Two:  0.437; Tree: 0.226333
Edge 166 -> No: 0.0516667; One: 0.269; Two:  0.453333; Tree: 0.226
Edge 167 -> No: 0.0533333; One: 0.280667; Two:  0.441667; Tree: 0.224333
Edge 168 -> No: 0.051; One: 0.266; Two:  0.453333; Tree: 0.229667
Edge 169 -> No: 0.0536667; One: 0.277333; Two:  0.445; Tree: 0.224
Edge 170 -> No: 0.0566667; One: 0.276; Two:  0.432333; Tree: 0.235
Edge 171 -> No: 0.0516667; One: 0.269333; Two:  0.439; Tree: 0.24
Edge 172 -> No: 0.0533333; One: 0.269333; Two:  0.443333; Tree: 0.234
Edge 173 -> No: 0.0603333; One: 0.27; Two:  0.432; Tree: 0.237667
Edge 174 -> No: 0.0563333; One: 0.280667; Two:  0.425; Tree: 0.238
Edge 175 -> No: 0.0626667; One: 0.283667; Two:  0.431; Tree: 0.222667
Edge 176 -> No: 0.057; One: 0.276333; Two:  0.445333; Tree: 0.221333
Edge 177 -> No: 0.0606667; One: 0.286333; Two:  0.431; Tree: 0.222
Edge 178 -> No: 0.0576667; One: 0.274333; Two:  0.434667; Tree: 0.233333
Edge 179 -> No: 0.0566667; One: 0.278; Two:  0.424667; Tree: 0.240667
Edge 180 -> No: 0.0603333; One: 0.283667; Two:  0.442667; Tree: 0.213333
Edge 181 -> No: 0.0653333; One: 0.275; Two:  0.434; Tree: 0.225667
Edge 182 -> No: 0.06; One: 0.272667; Two:  0.448667; Tree: 0.218667
Edge 183 -> No: 0.0526667; One: 0.284333; Two:  0.44; Tree: 0.223
Edge 184 -> No: 0.0563333; One: 0.278667; Two:  0.438667; Tree: 0.226333
Edge 185 -> No: 0.0623333; One: 0.286333; Two:  0.42; Tree: 0.231333
Edge 186 -> No: 0.055; One: 0.285; Two:  0.427; Tree: 0.233
Edge 187 -> No: 0.061; One: 0.288333; Two:  0.428667; Tree: 0.222
Edge 188 -> No: 0.0556667; One: 0.280333; Two:  0.430333; Tree: 0.233667
Edge 189 -> No: 0.0663333; One: 0.271; Two:  0.445333; Tree: 0.217333
Edge 190 -> No: 0.0656667; One: 0.287667; Two:  0.422; Tree: 0.224667
Edge 191 -> No: 0.064; One: 0.289; Two:  0.416; Tree: 0.231
Edge 192 -> No: 0.0586667; One: 0.291333; Two:  0.434; Tree: 0.216
Edge 193 -> No: 0.058; One: 0.275; Two:  0.434667; Tree: 0.232333
Edge 194 -> No: 0.0673333; One: 0.284; Two:  0.435; Tree: 0.213667
Edge 195 -> No: 0.0566667; One: 0.286333; Two:  0.444667; Tree: 0.212333
Edge 196 -> No: 0.0636667; One: 0.276; Two:  0.442; Tree: 0.218333
Edge 197 -> No: 0.0643333; One: 0.277333; Two:  0.432333; Tree: 0.226
Edge 198 -> No: 0.0583333; One: 0.286333; Two:  0.439; Tree: 0.216333
Edge 199 -> No: 0.0746667; One: 0.295333; Two:  0.422333; Tree: 0.207667
Edge 200 -> No: 0.0653333; One: 0.29; Two:  0.419667; Tree: 0.225
Edge 201 -> No: 0.0696667; One: 0.3; Two:  0.412333; Tree: 0.218
Edge 202 -> No: 0.0593333; One: 0.288667; Two:  0.428667; Tree: 0.223333
Edge 203 -> No: 0.0656667; One: 0.288333; Two:  0.44; Tree: 0.206
Edge 204 -> No: 0.0616667; One: 0.279; Two:  0.435; Tree: 0.224333
Edge 205 -> No: 0.064; One: 0.278667; Two:  0.429667; Tree: 0.227667
Edge 206 -> No: 0.0586667; One: 0.284; Two:  0.423333; Tree: 0.234
Edge 207 -> No: 0.0646667; One: 0.283667; Two:  0.422667; Tree: 0.229
Edge 208 -> No: 0.0566667; One: 0.29; Two:  0.442667; Tree: 0.210667
Edge 209 -> No: 0.069; One: 0.273667; Two:  0.435333; Tree: 0.222
Edge 210 -> No: 0.068; One: 0.293333; Two:  0.428333; Tree: 0.210333
Edge 211 -> No: 0.0693333; One: 0.281; Two:  0.439; Tree: 0.210667
Edge 212 -> No: 0.0646667; One: 0.293; Two:  0.427; Tree: 0.215333
Edge 213 -> No: 0.059; One: 0.282667; Two:  0.437; Tree: 0.221333
Edge 214 -> No: 0.068; One: 0.298; Two:  0.425; Tree: 0.209
Edge 215 -> No: 0.0593333; One: 0.303667; Two:  0.427333; Tree: 0.209667
Edge 216 -> No: 0.063; One: 0.29; Two:  0.430333; Tree: 0.216667
Edge 217 -> No: 0.0596667; One: 0.293667; Two:  0.43; Tree: 0.216667
Edge 218 -> No: 0.0603333; One: 0.292; Two:  0.422667; Tree: 0.225
Edge 219 -> No: 0.065; One: 0.288333; Two:  0.428667; Tree: 0.218
Edge 220 -> No: 0.069; One: 0.289333; Two:  0.433667; Tree: 0.208
Edge 221 -> No: 0.067; One: 0.304667; Two:  0.425667; Tree: 0.202667
Edge 222 -> No: 0.0613333; One: 0.297333; Two:  0.418333; Tree: 0.223
Edge 223 -> No: 0.061; One: 0.29; Two:  0.430667; Tree: 0.218333
Edge 224 -> No: 0.0653333; One: 0.306667; Two:  0.420333; Tree: 0.207667
Edge 225 -> No: 0.0726667; One: 0.295333; Two:  0.410667; Tree: 0.221333
Edge 226 -> No: 0.057; One: 0.302; Two:  0.437; Tree: 0.204
Edge 227 -> No: 0.0633333; One: 0.293667; Two:  0.427333; Tree: 0.215667
Edge 228 -> No: 0.0643333; One: 0.298667; Two:  0.411333; Tree: 0.225667
Edge 229 -> No: 0.0673333; One: 0.287; Two:  0.432667; Tree: 0.213
Edge 230 -> No: 0.061; One: 0.289; Two:  0.439333; Tree: 0.210667
Edge 231 -> No: 0.0696667; One: 0.298333; Two:  0.426333; Tree: 0.205667
Edge 232 -> No: 0.0676667; One: 0.292667; Two:  0.435333; Tree: 0.204333
Edge 233 -> No: 0.0766667; One: 0.291; Two:  0.420667; Tree: 0.211667
Edge 234 -> No: 0.0606667; One: 0.304667; Two:  0.434333; Tree: 0.200333
Edge 235 -> No: 0.068; One: 0.282333; Two:  0.433333; Tree: 0.216333
Edge 236 -> No: 0.068; One: 0.287667; Two:  0.443; Tree: 0.201333
Edge 237 -> No: 0.06; One: 0.297; Two:  0.430667; Tree: 0.212333
Edge 238 -> No: 0.0676667; One: 0.306333; Two:  0.415; Tree: 0.211
Edge 239 -> No: 0.064; One: 0.300667; Two:  0.430667; Tree: 0.204667
Edge 240 -> No: 0.072; One: 0.303; Two:  0.426; Tree: 0.199
Edge 241 -> No: 0.0686667; One: 0.296; Two:  0.431333; Tree: 0.204
Edge 242 -> No: 0.062; One: 0.302333; Two:  0.423667; Tree: 0.212
Edge 243 -> No: 0.0696667; One: 0.292; Two:  0.431; Tree: 0.207333
Edge 244 -> No: 0.0633333; One: 0.294333; Two:  0.437333; Tree: 0.205
Edge 245 -> No: 0.0603333; One: 0.298; Two:  0.423667; Tree: 0.218
Edge 246 -> No: 0.074; One: 0.302333; Two:  0.422667; Tree: 0.201
Edge 247 -> No: 0.0656667; One: 0.295; Two:  0.431667; Tree: 0.207667
Edge 248 -> No: 0.0606667; One: 0.297; Two:  0.439667; Tree: 0.202667
Edge 249 -> No: 0.0696667; One: 0.292; Two:  0.441333; Tree: 0.197
Edge 250 -> No: 0.0716667; One: 0.304333; Two:  0.429667; Tree: 0.194333
Edge 251 -> No: 0.071; One: 0.304333; Two:  0.415; Tree: 0.209667
Edge 252 -> No: 0.074; One: 0.28; Two:  0.443; Tree: 0.203
Edge 253 -> No: 0.0696667; One: 0.311333; Two:  0.424333; Tree: 0.194667
Edge 254 -> No: 0.061; One: 0.294; Two:  0.439667; Tree: 0.205333
Edge 255 -> No: 0.0723333; One: 0.291; Two:  0.436333; Tree: 0.200333
Edge 256 -> No: 0.0696667; One: 0.295333; Two:  0.435667; Tree: 0.199333
